date,project,cost
17.03.2019,39,4700
18.03.2019,81,4362
19.03.2019,88,5931
20.03.2019,52,3062
21.03.2019,40,4928
22.03.2019,59,4688
23.03.2019,24,4575
24.03.2019,75,3280
25.03.2019,53,4404
26.03.2019,3,5467
27.03.2019,70,3249
28.03.2019,96,3957
29.03.2019,35,5322
30.03.2019,70,5998
31.03.2019,23,3295
01.04.2019,78,5264
02.04.2019,58,4044
03.04.2019,55,3255
04.04.2019,67,4527
05.04.2019,16,5117
06.04.2019,95,4061
07.04.2019,55,5046
08.04.2019,38,5091
09.04.2019,63,4560
10.04.2019,95,4560
11.04.2019,32,5280
12.04.2019,47,3939
13.04.2019,63,5029
14.04.2019,67,3504
15.04.2019,4,5726
16.04.2019,90,4097
17.04.2019,36,4142
18.04.2019,99,4527
19.04.2019,70,5940
20.04.2019,25,4668
21.04.2019,32,4935
22.04.2019,56,5816
23.04.2019,60,4401
24.04.2019,80,5327
25.04.2019,86,3229
26.04.2019,1,5730
27.04.2019,25,5955
28.04.2019,65,4107
29.04.2019,87,3871
30.04.2019,80,5300
01.05.2019,88,4685
02.05.2019,71,3435
03.05.2019,23,5513
04.05.2019,77,3364
05.05.2019,59,5454
06.05.2019,94,3098
07.05.2019,69,5600
08.05.2019,28,3695
09.05.2019,2,5733
10.05.2019,83,3676
11.05.2019,48,3549
12.05.2019,91,3142
13.05.2019,62,5697
14.05.2019,97,4035
15.05.2019,11,4376
16.05.2019,90,4760
17.05.2019,56,4232
18.05.2019,39,4787
19.05.2019,46,5615
20.05.2019,6,5992
21.05.2019,81,3230
22.05.2019,50,4184
23.05.2019,60,4944
24.05.2019,14,4393
25.05.2019,100,3310
26.05.2019,69,4731
27.05.2019,86,3336
28.05.2019,76,4222
29.05.2019,69,5548
30.05.2019,52,4187
31.05.2019,94,5419
01.06.2019,41,3611
02.06.2019,7,3702
03.06.2019,79,5101
04.06.2019,7,5621
05.06.2019,53,3764
06.06.2019,72,3986
07.06.2019,41,4734
08.06.2019,17,3721
09.06.2019,41,3478
10.06.2019,63,3464
11.06.2019,16,5181
12.06.2019,16,4629
13.06.2019,76,3900
14.06.2019,98,5746
15.06.2019,85,3891
16.06.2019,16,3365
17.06.2019,82,3474
18.06.2019,37,5736
19.06.2019,9,3986
20.06.2019,1,4884
21.06.2019,84,5166
22.06.2019,56,4713
23.06.2019,15,5846
24.06.2019,77,3894
25.06.2019,41,3373
26.06.2019,16,4185
27.06.2019,85,3297
28.06.2019,67,5020
29.06.2019,59,3626
30.06.2019,99,3471
01.07.2019,1,3835
02.07.2019,29,4122
03.07.2019,28,3325
04.07.2019,87,5450
05.07.2019,43,5241
06.07.2019,47,5261
07.07.2019,8,3419
08.07.2019,6,5376
09.07.2019,21,3395
10.07.2019,2,3696
11.07.2019,17,4132
12.07.2019,15,3300
13.07.2019,95,4337
14.07.2019,42,4675
15.07.2019,18,5076
16.07.2019,46,4001
17.07.2019,78,5335
18.07.2019,88,5546
19.07.2019,57,4298
20.07.2019,30,5219
21.07.2019,39,5516
22.07.2019,66,5623
23.07.2019,98,3062
24.07.2019,88,3382
25.07.2019,92,4351
26.07.2019,51,5206
27.07.2019,7,3248
28.07.2019,83,5978
29.07.2019,60,5446
30.07.2019,26,4687
31.07.2019,91,5312
01.08.2019,50,3756
02.08.2019,9,5362
03.08.2019,89,3875
04.08.2019,43,3991
05.08.2019,17,4829
06.08.2019,46,5263
07.08.2019,27,5085
08.08.2019,64,5348
09.08.2019,34,5521
10.08.2019,27,4315
11.08.2019,68,4821
12.08.2019,94,5875
13.08.2019,73,5914
14.08.2019,44,3157
15.08.2019,9,3119
16.08.2019,58,3805
17.08.2019,51,4361
18.08.2019,28,5056
19.08.2019,97,4333
20.08.2019,51,4924
21.08.2019,62,4712
22.08.2019,8,3687
23.08.2019,62,4221
24.08.2019,28,4475
25.08.2019,74,4155
26.08.2019,11,4197
27.08.2019,62,3643
28.08.2019,68,4133
29.08.2019,22,3504
30.08.2019,18,5081
31.08.2019,29,5912
01.09.2019,63,5182
02.09.2019,8,4009
03.09.2019,89,4168
04.09.2019,74,3533
05.09.2019,70,5963
06.09.2019,9,5741
07.09.2019,27,4490
08.09.2019,45,5570
09.09.2019,77,4834
10.09.2019,55,3700
11.09.2019,64,3191
12.09.2019,38,3072
13.09.2019,95,3844
14.09.2019,41,3727
15.09.2019,27,3009
16.09.2019,72,3630
17.09.2019,88,5302
18.09.2019,50,4267
19.09.2019,44,5959
20.09.2019,65,3289
21.09.2019,97,5225
22.09.2019,66,4830
23.09.2019,42,5363
24.09.2019,29,5581
25.09.2019,5,3709
26.09.2019,14,5374
27.09.2019,62,3272
28.09.2019,22,4328
29.09.2019,75,5206
30.09.2019,18,4012
01.10.2019,67,4534
02.10.2019,1,3535
03.10.2019,84,3947
04.10.2019,16,5049
05.10.2019,38,3886
06.10.2019,41,3919
07.10.2019,50,3847
08.10.2019,83,5190
09.10.2019,29,5332
10.10.2019,9,4065
11.10.2019,74,5859
12.10.2019,29,5361
13.10.2019,26,5237
14.10.2019,80,4935
15.10.2019,48,5007
16.10.2019,84,4593
17.10.2019,91,3523
18.10.2019,38,4378
19.10.2019,8,4262
20.10.2019,17,5226
21.10.2019,31,3001
22.10.2019,26,5628
23.10.2019,32,5892
24.10.2019,8,4129
25.10.2019,47,5184
26.10.2019,13,4079
27.10.2019,73,5941
28.10.2019,48,5467
29.10.2019,75,4796
30.10.2019,58,3003
31.10.2019,80,5054
01.11.2019,71,4586
02.11.2019,53,4820
03.11.2019,62,3059
04.11.2019,20,3345
05.11.2019,22,4056
06.11.2019,6,5809
07.11.2019,80,4141
08.11.2019,90,5169
09.11.2019,78,4016
10.11.2019,76,4255
11.11.2019,74,4893
12.11.2019,93,3204
13.11.2019,79,3424
14.11.2019,57,5442
15.11.2019,6,4455
16.11.2019,81,4495
17.11.2019,95,4325
18.11.2019,64,3563
19.11.2019,68,4035
20.11.2019,56,3110
21.11.2019,98,4747
22.11.2019,46,3740
23.11.2019,66,4625
24.11.2019,73,3340
25.11.2019,68,4684
26.11.2019,2,5062
27.11.2019,52,5916
28.11.2019,20,5434
29.11.2019,99,3368
30.11.2019,36,5597
01.12.2019,40,4697
02.12.2019,5,3863
03.12.2019,34,4509
04.12.2019,60,3466
05.12.2019,30,5387
06.12.2019,3,4380
07.12.2019,99,5007
08.12.2019,2,5996
09.12.2019,31,5884
10.12.2019,58,3314
11.12.2019,27,3566
12.12.2019,27,4387
13.12.2019,9,4231
14.12.2019,49,3698
15.12.2019,71,4317
16.12.2019,24,3933
17.12.2019,59,5964
18.12.2019,60,5148
19.12.2019,39,3858
20.12.2019,34,5286
21.12.2019,40,4299
22.12.2019,94,3888
23.12.2019,10,5557
24.12.2019,40,3293
25.12.2019,2,3461
26.12.2019,80,3269
27.12.2019,74,5542
28.12.2019,72,3769
29.12.2019,85,3830
30.12.2019,50,3098
31.12.2019,67,5167
01.01.2020,56,5081
02.01.2020,34,5873
03.01.2020,83,5504
04.01.2020,47,4113
05.01.2020,55,5687
06.01.2020,6,3508
07.01.2020,83,3666
08.01.2020,53,3134
09.01.2020,81,4059
10.01.2020,88,5541
11.01.2020,10,5241
12.01.2020,48,3244
13.01.2020,12,3018
14.01.2020,9,5011
15.01.2020,56,4006
16.01.2020,4,3590
17.01.2020,10,5837
18.01.2020,74,4741
19.01.2020,5,5346
20.01.2020,46,5855
21.01.2020,97,3470
22.01.2020,80,5445
23.01.2020,21,4967
24.01.2020,30,4558
25.01.2020,60,3121
26.01.2020,8,5414
27.01.2020,44,3865
28.01.2020,42,3150
29.01.2020,32,5262
30.01.2020,80,5922
31.01.2020,71,3673
01.02.2020,59,4588
02.02.2020,55,5986
03.02.2020,97,5060
04.02.2020,75,5011
05.02.2020,58,3345
06.02.2020,44,3014
07.02.2020,5,5902
08.02.2020,97,3283
09.02.2020,41,5106
10.02.2020,35,5038
11.02.2020,66,5037
12.02.2020,91,3459
13.02.2020,56,4770
14.02.2020,42,4007
15.02.2020,30,5311
16.02.2020,47,5254
17.02.2020,50,5470
18.02.2020,88,5574
19.02.2020,56,4615
20.02.2020,4,5325
21.02.2020,58,5092
22.02.2020,65,4033
23.02.2020,6,5909
24.02.2020,48,3195
25.02.2020,74,4123
26.02.2020,39,5686
27.02.2020,8,5339
28.02.2020,6,5704
29.02.2020,14,5405
01.03.2020,33,3405
02.03.2020,70,4843
03.03.2020,28,3476
04.03.2020,70,5484
05.03.2020,12,4175
06.03.2020,55,4595
07.03.2020,70,3355
08.03.2020,73,4283
09.03.2020,91,5540
10.03.2020,53,3461
11.03.2020,22,4560
12.03.2020,65,5959
13.03.2020,56,5558
14.03.2020,45,4896
15.03.2020,64,5942
16.03.2020,85,3716
17.03.2020,31,4143
18.03.2020,5,3400
19.03.2020,17,5702
20.03.2020,33,3725
21.03.2020,48,5125
22.03.2020,27,3431
23.03.2020,70,3915
24.03.2020,25,5254
25.03.2020,15,3256
26.03.2020,43,4389
27.03.2020,73,3923
28.03.2020,67,4872
29.03.2020,44,3135
30.03.2020,36,3377
31.03.2020,100,4501
01.04.2020,48,3419
02.04.2020,24,5419
03.04.2020,94,3271
04.04.2020,63,3988
05.04.2020,46,4354
06.04.2020,45,3953
07.04.2020,24,3009
08.04.2020,59,5665
09.04.2020,95,3244
10.04.2020,30,3297
11.04.2020,19,5629
12.04.2020,13,4607
13.04.2020,18,4686
14.04.2020,74,3791
15.04.2020,58,5526
16.04.2020,21,5935
17.04.2020,21,3596
18.04.2020,32,4540
19.04.2020,53,3371
20.04.2020,32,5794
21.04.2020,94,5375
22.04.2020,35,5133
23.04.2020,32,4553
24.04.2020,13,3396
25.04.2020,75,3505
26.04.2020,34,5400
27.04.2020,3,4949
28.04.2020,90,4079
29.04.2020,26,5703
30.04.2020,80,3271
01.05.2020,42,4003
02.05.2020,57,3454
03.05.2020,11,3179
04.05.2020,7,5835
05.05.2020,45,5378
06.05.2020,77,5887
07.05.2020,76,3499
08.05.2020,5,3369
09.05.2020,97,5264
10.05.2020,25,5022
11.05.2020,62,4963
12.05.2020,1,3756
13.05.2020,11,3300
14.05.2020,92,3109
15.05.2020,45,5962
16.05.2020,40,4000
17.05.2020,68,3676
18.05.2020,54,3951
19.05.2020,51,3651
20.05.2020,71,5475
21.05.2020,66,4959
22.05.2020,57,5067
23.05.2020,77,5924
24.05.2020,62,4171
25.05.2020,34,5261
26.05.2020,95,4594
27.05.2020,88,5982
28.05.2020,14,3916
29.05.2020,55,4239
30.05.2020,100,5244
31.05.2020,24,3486
01.06.2020,100,3203
02.06.2020,39,3953
03.06.2020,61,4385
04.06.2020,61,3862
05.06.2020,27,3434
06.06.2020,38,5852
07.06.2020,62,4787
08.06.2020,1,4781
09.06.2020,6,3926
10.06.2020,5,3080
11.06.2020,90,3312
12.06.2020,4,3443
13.06.2020,65,4796
14.06.2020,74,5568
15.06.2020,81,4826
16.06.2020,75,4534
17.06.2020,70,5449
18.06.2020,24,5605
19.06.2020,68,5342
20.06.2020,67,3996
21.06.2020,12,4726
22.06.2020,26,4478
23.06.2020,52,3524
24.06.2020,55,5691
25.06.2020,100,4464
26.06.2020,5,4248
27.06.2020,55,5014
28.06.2020,86,5432
29.06.2020,29,3755
30.06.2020,52,4983
01.07.2020,87,4155
02.07.2020,63,3436
03.07.2020,71,4704
04.07.2020,48,5204
05.07.2020,14,5173
06.07.2020,100,4014
07.07.2020,63,4754
08.07.2020,38,3199
09.07.2020,58,3895
10.07.2020,27,4480
11.07.2020,87,5944
12.07.2020,30,3281
13.07.2020,20,3335
14.07.2020,65,4852
15.07.2020,14,5722
16.07.2020,60,3791
17.07.2020,5,5871
18.07.2020,74,5862
19.07.2020,22,4114
20.07.2020,58,3188
21.07.2020,89,3757
22.07.2020,48,3062
23.07.2020,38,3883
24.07.2020,73,5671
25.07.2020,24,3645
26.07.2020,10,4073
27.07.2020,50,4944
28.07.2020,15,4523
29.07.2020,81,3767
30.07.2020,13,3940
31.07.2020,58,4225
01.08.2020,61,3641
02.08.2020,24,3092
03.08.2020,49,4295
04.08.2020,64,3366
05.08.2020,91,4856
06.08.2020,90,3162
07.08.2020,77,3830
08.08.2020,2,4945
09.08.2020,46,4044
10.08.2020,94,5789
11.08.2020,4,3484
12.08.2020,56,4714
13.08.2020,80,5743
14.08.2020,74,5899
15.08.2020,64,5761
16.08.2020,67,3854
17.08.2020,8,4047
18.08.2020,62,5128
19.08.2020,90,5910
20.08.2020,64,5896
21.08.2020,57,5645
22.08.2020,84,3006
23.08.2020,77,5452
24.08.2020,62,5798
25.08.2020,21,4185
26.08.2020,55,3675
27.08.2020,54,5030
28.08.2020,12,4973
29.08.2020,37,3963
30.08.2020,49,5388
31.08.2020,99,3701
01.09.2020,94,5680
02.09.2020,72,5712
03.09.2020,94,4535
04.09.2020,9,4967
05.09.2020,66,4151
06.09.2020,11,3528
07.09.2020,62,4200
08.09.2020,32,5020
09.09.2020,69,4462
10.09.2020,60,3805
11.09.2020,4,3366
12.09.2020,13,3561
13.09.2020,38,3853
14.09.2020,98,4255
15.09.2020,34,5855
16.09.2020,29,4678
17.09.2020,9,4029
18.09.2020,40,4734
19.09.2020,18,3711
20.09.2020,62,3546
21.09.2020,41,4102
22.09.2020,62,3493
23.09.2020,22,3613
24.09.2020,85,3021
25.09.2020,62,5733
26.09.2020,57,5321
27.09.2020,61,3774
28.09.2020,69,3723
29.09.2020,61,4618
30.09.2020,98,3354
01.10.2020,96,5170
02.10.2020,81,3979
03.10.2020,96,3765
04.10.2020,88,5273
05.10.2020,85,3023
06.10.2020,28,3460
07.10.2020,44,5715
08.10.2020,16,4883
09.10.2020,84,4027
10.10.2020,78,4639
11.10.2020,50,4802
12.10.2020,73,3069
13.10.2020,50,4611
14.10.2020,28,4495
15.10.2020,27,4438
16.10.2020,49,5444
17.10.2020,61,4330
18.10.2020,75,4141
19.10.2020,15,5193
20.10.2020,15,4388
21.10.2020,2,4666
22.10.2020,6,5501
23.10.2020,26,5533
24.10.2020,47,5488
25.10.2020,65,4730
26.10.2020,37,5415
27.10.2020,82,3369
28.10.2020,6,5137
29.10.2020,68,5473
30.10.2020,9,5189
31.10.2020,7,5704
01.11.2020,57,4679
02.11.2020,34,4846
03.11.2020,53,4831
04.11.2020,3,3847
05.11.2020,48,3549
06.11.2020,7,4479
07.11.2020,42,4486
08.11.2020,72,3046
09.11.2020,59,4822
10.11.2020,65,5323
11.11.2020,94,3213
12.11.2020,87,4980
13.11.2020,62,4325
14.11.2020,96,5585
15.11.2020,76,4886
16.11.2020,43,4946
17.11.2020,34,4487
18.11.2020,46,3631
19.11.2020,78,4559
20.11.2020,82,4723
21.11.2020,6,3962
22.11.2020,13,4515
23.11.2020,31,3457
24.11.2020,59,3016
25.11.2020,41,4654
26.11.2020,82,4758
27.11.2020,5,4501
28.11.2020,54,5941
29.11.2020,31,5066
30.11.2020,11,4464
01.12.2020,66,4958
02.12.2020,45,5390
03.12.2020,50,5324
04.12.2020,87,4448
05.12.2020,49,5836
06.12.2020,84,3705
07.12.2020,56,4177
08.12.2020,91,3047
09.12.2020,77,3488
10.12.2020,13,5315
11.12.2020,14,4128
12.12.2020,47,4134
13.12.2020,15,3317
14.12.2020,19,4861
15.12.2020,97,3516
16.12.2020,69,5522
17.12.2020,74,4572
18.12.2020,27,5623
19.12.2020,41,5299
20.12.2020,13,4368
21.12.2020,82,3814
22.12.2020,56,5130
23.12.2020,47,4866
24.12.2020,34,4442
25.12.2020,73,3722
26.12.2020,78,3570
27.12.2020,54,5933
28.12.2020,36,4640
29.12.2020,57,5995
30.12.2020,32,3722
31.12.2020,9,5311
01.01.2021,48,4646
02.01.2021,76,5142
03.01.2021,90,5139
04.01.2021,58,3685
05.01.2021,79,4679
06.01.2021,63,3553
07.01.2021,87,4311
08.01.2021,64,5883
09.01.2021,91,3072
10.01.2021,27,5079
11.01.2021,94,5474
12.01.2021,57,5607
13.01.2021,96,5832
14.01.2021,7,3615
15.01.2021,66,5719
16.01.2021,83,5362
17.01.2021,64,5083
18.01.2021,39,5780
19.01.2021,55,5972
20.01.2021,34,4245
21.01.2021,32,4310
22.01.2021,7,3894
23.01.2021,23,3134
24.01.2021,83,3071
